word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
#harvardcafe	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
signing	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
khalifa	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
champagne	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
sends	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#porntube	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
caeruleansea	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
or	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
offense	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#veganscantkissme	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#jewellery	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
rome	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#lovely	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#blackflag	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
offer	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#likeit	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#noremorse	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
exo	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
lence	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
bond	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#thecitron	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#newdayquotes	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
fa	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
kate	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
yours	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
numbers	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
ashghebranious	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
lab	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#tattoo	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#superleague	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
hills	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
packaged	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#makepeace	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
huck	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#arkhamknight	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#coaches	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
quicksilwr	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#handsome	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
matic	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#quality	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
plus	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
rides	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#rapist	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
greatly	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#irving	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
mentions	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
lec	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#full	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
complaining	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#peneboys	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
bus	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
jewish	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
itunes	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#mountains	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
coleenroo	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
ra	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#hd	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
mee?	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
qualmsh	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
shawnaross	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#jesus	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
genuinely	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
ellen	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
yap	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
exactly	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#theeye	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#leather	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
imonlyzee	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
save	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
infamous	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
exhibits	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
celebrity	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
teman	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
participate	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#filipino	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
ten	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#ink	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
talking	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
urgh	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
outsiders	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
dumplings	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#evening	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#kindle	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#srinivasan	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
valise	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
institutionalized	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#gloomy	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#trap	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
hokage	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#new	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#twerk	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
lv	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#worldpeace	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#abelispastnuts	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
picot	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
eyed	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
shall	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
august	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#noreason	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
harryfcrew	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
leaning	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#birthdaycake	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
hypocrisy	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
graduate	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#cumpleaños	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
wilson	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
vine	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#song	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
chelsea	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
roy!	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
upset	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
danitheelite	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#hodgson	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
spend	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
brrrr	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
burdens	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#simplygivethanks	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
phuket	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#ericdier	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#paranoia	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#fatal	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
pussycat	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#rant	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
mojoint	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#fashionist	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
squat	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
arrive	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#barackobama	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
pp	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
balanced	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#blessing	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
several	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#internationalmensday	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
watched	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
marijuana	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
fish	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
welcomes	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#witchesofeastend	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
forgetting	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#lowselfesteem	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#freewebcamsites	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#sighs	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#pubguarida	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
chumps	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
conspiracy	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
batman	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
bosom	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#bouquet	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
einstein	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#boldomatic	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
park	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
lean	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
wow!	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
happily	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#darksiders	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
wraps	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
manor	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
gree	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#takeit	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
contender	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#flight	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
learning	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#flashbackfriday	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
posting	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
experience	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
printing	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
solve	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
hhalhajri	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#onlinechatting	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#yougetoneshot	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#together	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#babyshower	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
champs	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#sibling	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
ronald	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
krogerprobs	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#thanksgiving!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
read	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
roach	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
mix	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#littlethings	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
miserable	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
tea?	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#robots	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#instacool	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#houtbay	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
university	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
g!	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
yellow	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
pornvideox	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
duree	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
starnes	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
quickly	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
ropa	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
fied	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#imgood	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
puking	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
lessons	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
toilet	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#labirinth	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
chris	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
serenity	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
whirl	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#bjj	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
permission	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
election	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
personality	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
bathrooms	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#familyfriends	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
previous	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#rubbish	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
masashi	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
gargling	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#struggling	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#subway	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
style	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
los	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#rico	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#fromwant	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
collard	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#toronto	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
feared	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
grief	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
go!!!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#united	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#consciousness	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
ratio	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
pants	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#wfd	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
few!	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
patrick	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
now?	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
lummox	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
yrs	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#keepgoing	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#pizza	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
nr	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#rasmiehyousefodeh	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#lovelife	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#childhood	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
emo	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#christmas	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
canned	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
kendi	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#reminders	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#teamprettypussy	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
wonderland	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
blew	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
messed	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#everyonehome	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
niche	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
mile	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
typical	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#cookies!	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#jewelry	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
jennyschug	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#ourshop	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
fingers	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#mcrib	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
word	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
importance	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#elganso	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
faces	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
gotten	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#springfield	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
affordable	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#pastlifetherapy	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#details	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
mug!!	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#depression	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
cooked	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
whole	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
bartending	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
sequin	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
hell?!	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
normally	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
headaches	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
carmella	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
ah!	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#dc	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#granny	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
lies	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
grossest	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
cotton	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#crashthewedding	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
?aµ	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
kaleejeane	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#streetgymrun	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
symptoms	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
tainted	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#retail	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
june	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#instaguapos	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#instanight	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#pink	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
specials	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
bridesmaids	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
places	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#drugs	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
pattinson	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#mixmanmc	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
siguiente	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
nancyajram	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#lifequotes	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
pooping	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
coffee	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
eth	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
todo	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
dunno	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
elgan	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
oder	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
gotham	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
confront	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
ha	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
thamesvp	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#simply	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#knob	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
pair	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#chattanooga	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#rose	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
benjam	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
prospects	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
seka	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#pact	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#ghosts	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#outfit	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
plenty	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#pansy	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#positivity	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
skeleton	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
stitches	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#colors	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
extremism	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
snowice	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#maui	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#ego	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#retweet	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#miss	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#bondage	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#youareinmyheart	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
copywriter	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#sf	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
ideal	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#cloudy	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#daugh	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
fav	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
regarding	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
sickened	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
volume	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
disgrace	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
assistant	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#zuckerberg	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
dun	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#sunny	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
nerium	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
bcbs	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
horse	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
sounds	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
started	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
greatest	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
playoffs	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
wan	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#sooc	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
dubois	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
cover	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
sonrisa	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
#longboard	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
wishing	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
poked	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
banish	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#freejustina	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
plz	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
humour	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
cheese	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
#alwaysdisappointed	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
formed	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#sun	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#cookbooks	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
henley	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
explosion	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
dance	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
victims	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#xmassong	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
each	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#moda	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
ruben	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
fly	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
hm	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
#xxx	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#photooftheday	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
kristen	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
hosted	0	1	0	0	0	0	0	0	0	0	0	0		-1.0
#arrow!	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#make	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#foodporn	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
#days	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
congratulate	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
yet	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
relive	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
tiler	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
temper	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#drive	1	0	0	0	0	0	0	0	0	0	0	0		-1.0
vienna	0	0	0	0	0	1	0	0	0	0	0	0		-1.0
eleventh	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#gay	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
#cake	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
wealthy	0	0	1	0	0	0	0	0	0	0	0	0		-1.0
participating	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
crowdkind	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#sunshine	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
#bye	0	0	0	0	1	0	0	0	0	0	0	0		-1.0
#unbelievable	0	0	0	0	0	0	0	1	0	0	0	0		-1.0
lib	0	0	0	0	0	0	1	0	0	0	0	0		-1.0
#small	0	0	0	1	0	0	0	0	0	0	0	0		-1.0
qb	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
experi	0	0	0	0	0	0	0	0	1	0	0	0		-1.0
